"","Geoip.City","Geoip.State","ave_finance_range","ave_vacation_budget","ave_age_range","leisure_travel_type_Beach","leisure_travel_type_Sightseeing_Touring","leisure_travel_type_Trekking","leisure_travel_type_Skiing_Golfing_Biking","leisure_travel_type_Other","likelihood","lat","long"
"2","Toronto","Ontario","750","3500","49.5",1,0,0,0,0,"Very likely",43.70011,-79.4163
"3","London","Ontario","2250","3500","39.5",1,1,0,0,1,"Very likely",42.98339,-81.23304
"9","Toronto","Ontario","10000","10000","49.5",0,1,0,0,0,"Very likely",43.70011,-79.4163
"13","Saint-Jean-sur-Richelieu","Quebec","4000","1000","49.5",1,0,0,0,0,"Very likely",45.30713,-73.26259
"20","Leduc","Alberta","2250","1000","39.5",0,0,0,0,1,"Very likely",53.26682,-113.55201
"32","Calgary","Alberta","10000","10000","49.5",1,1,1,0,1,"",51.05011,-114.08529
"38","Cornwall","Prince Edward Island","750","1500","39.5",1,1,1,1,0,"Very likely",45.01809,-74.72815
"39","Pembroke","Ontario","2250","1500","29.5",1,1,0,0,0,"Likely",45.81681,-77.11616
"42","Yorkton","Saskatchewan","7500","3500","29.5",0,1,0,0,1,"Likely",51.2167,-102.46766
"43","Calgary","Alberta","2250","3500","29.5",1,1,0,0,1,"Very likely",51.05011,-114.08529
"49","Toronto","Ontario","750","1500","39.5",1,1,1,1,0,"Likely",43.70011,-79.4163
"51","Fort Saskatchewan","Alberta","4000","1500","69.5",0,1,0,0,0,"Likely",53.71684,-113.2187
"53","Alma","Ontario","4000","1500","39.5",1,1,0,0,1,"Very likely",48.55009,-71.6491
"54","Abbotsford","British Columbia","750","1000","29.5",1,1,0,1,0,"Likely",49.05798,-122.25257
"62","Toronto","Ontario","750","1000","29.5",1,1,0,1,1,"Very likely",43.70011,-79.4163
"63","Montréal-Ouest","Quebec","2250","3500","39.5",1,1,0,0,0,"Likely",45.45286,-73.64918
"67","Halifax","Nova Scotia","750","1500","49.5",0,1,1,0,0,"Very likely",44.64533,-63.57239
"70","Edmonton","Alberta","2250","3500","49.5",1,1,1,1,0,"Very likely",53.55014,-113.46871
"78","London","Ontario","4000","3500","49.5",1,1,0,1,0,"Very likely",42.98339,-81.23304
"83","Toronto","Ontario","2250","1500","69.5",1,1,1,0,0,"Very likely",43.70011,-79.4163
"87","Toronto","Ontario","4000","1500","49.5",1,0,0,0,0,"Likely",43.70011,-79.4163
"91","Sydney","Nova Scotia","750","1000","49.5",0,1,0,0,0,"Likely",46.1351,-60.1831
"93","Winnipeg","Manitoba","NA","1500","49.5",0,1,0,0,0,"Very likely",49.8844,-97.14704
"97","Halifax","Nova Scotia","750","1500","59.5",1,0,0,0,0,"Likely",44.64533,-63.57239
"98","Québec","Quebec","750","1000","29.5",1,1,0,1,0,"Very likely",46.81228,-71.21454
"102","Kingston","Ontario","4000","1500","39.5",0,1,0,0,0,"Likely",44.22976,-76.48098
"107","Trois-Rivières","Quebec","750","1500","39.5",1,1,0,0,0,"Very likely",46.34515,-72.5477
"108","Calgary","Alberta","2250","1500","59.5",1,1,0,0,0,"Likely",51.05011,-114.08529
"121","Winnipeg","Manitoba","4000","3500","59.5",0,0,0,0,0,"Very likely",49.8844,-97.14704
"122","Toronto","Ontario","4000","7500","59.5",1,1,0,0,0,"Likely",43.70011,-79.4163
"126","Ancaster","Ontario","2250","1500","29.5",1,1,0,0,1,"Likely",43.21806,-79.98716
"127","Toronto","Ontario","4000","3500","49.5",0,1,0,0,0,"Likely",43.70011,-79.4163
"128","Brandon","Manitoba","2250","1500","59.5",1,0,0,0,0,"Likely",49.84692,-99.95306
"129","Brampton","Ontario","10000","3500","29.5",1,1,1,0,0,"Likely",43.68341,-79.76633
"130","Edmonton","Alberta","750","1500","75",0,0,0,0,1,"Very likely",53.55014,-113.46871
"132","Edmonton","Alberta","2250","1000","59.5",1,1,1,1,1,"Likely",53.55014,-113.46871
"133","Montréal-Ouest","Quebec","2250","1500","59.5",1,1,0,0,0,"Likely",45.45286,-73.64918
"134","Toronto","Ontario","4000","3500","29.5",1,1,1,1,0,"Likely",43.70011,-79.4163
"135","Montréal-Ouest","Quebec","2250","1000","39.5",1,1,0,0,1,"Very likely",45.45286,-73.64918
"138","Calgary","Alberta","4000","3500","29.5",1,1,0,0,0,"Very likely",51.05011,-114.08529
"145","Toronto","Ontario","10000","1500","29.5",0,1,0,0,0,"Very likely",43.70011,-79.4163
"149","St. John's","Newfoundland and Labrador","4000","1500","39.5",1,1,1,1,1,"Very likely",47.56494,-52.70931
"160","Leduc","Alberta","750","1500","39.5",1,1,1,1,0,"Very likely",53.26682,-113.55201
"162","Ottawa","Ontario","750","1500","59.5",1,1,0,0,0,"Likely",45.41117,-75.69812
"163","Toronto","Ontario","2250","1500","59.5",1,1,0,0,0,"Very likely",43.70011,-79.4163
"164","Montréal-Ouest","Quebec","750","1000","69.5",1,0,0,0,0,"Very likely",45.45286,-73.64918
"170","Saskatoon","Saskatchewan","7500","1000","29.5",1,0,0,0,0,"Likely",52.11679,-106.63452
"171","Edmonton","Alberta","750","1500","29.5",1,0,0,0,0,"Very likely",53.55014,-113.46871
"174","Montréal-Ouest","Quebec","750","1500","29.5",0,0,1,0,0,"Very likely",45.45286,-73.64918
"178","St. John's","Newfoundland and Labrador","2250","3500","49.5",1,1,0,0,1,"Likely",47.56494,-52.70931
"183","North Vancouver","British Columbia","4000","3500","59.5",1,0,0,0,0,"Likely",49.31636,-123.06934
"185","Edmonton","Alberta","4000","1500","49.5",1,1,1,0,0,"Very likely",53.55014,-113.46871
"186","Montréal-Ouest","Quebec","4000","3500","49.5",1,1,0,0,0,"Very likely",45.45286,-73.64918
"188","St. John's","Newfoundland and Labrador","7500","3500","39.5",1,1,0,0,0,"Likely",47.56494,-52.70931
"197","Toronto","Ontario","7500","1000","29.5",1,1,0,0,0,"Very likely",43.70011,-79.4163
"200","Mascouche","Quebec","7500","3500","49.5",1,1,0,0,0,"Very likely",45.74965,-73.59956
"201","St. John's","Newfoundland and Labrador","2250","3500","49.5",1,1,1,0,0,"Very likely",47.56494,-52.70931
"206","Peterborough","Ontario","4000","1500","29.5",1,1,0,0,0,"Likely",44.30012,-78.31623
"208","Edmonton","Alberta","750","1500","29.5",1,1,1,0,0,"Likely",53.55014,-113.46871
"209","Gatineau","Quebec","2250","3500","21",1,0,1,0,0,"Likely",45.47723,-75.70164
"210","Lacombe","Alberta","4000","3500","39.5",1,1,0,0,0,"Very likely",52.46681,-113.7353
"214","North Vancouver","British Columbia","2250","1500","69.5",1,1,0,1,0,"Very likely",49.31636,-123.06934
"217","Toronto","Ontario","2250","3500","49.5",0,1,0,0,0,"Very likely",43.70011,-79.4163
"218","North Vancouver","British Columbia","4000","1500","49.5",0,1,1,0,0,"Very likely",49.31636,-123.06934
"221","North Vancouver","British Columbia","750","1500","39.5",1,0,0,0,0,"Very likely",49.31636,-123.06934
"228","Sylvan Lake","Alberta","2250","1500","39.5",1,1,0,0,1,"Very likely",52.31681,-114.0853
"229","Varennes","Quebec","750","1000","29.5",1,1,0,0,0,"Very likely",45.68338,-73.43246
"236","Toronto","Ontario","4000","3500","39.5",0,1,1,0,0,"Very likely",43.70011,-79.4163
"237","Regina","Saskatchewan","750","1000","NA",0,1,0,0,0,"",50.45008,-104.6178
"240","Toronto","Ontario","2250","3500","29.5",1,1,1,1,0,"Likely",43.70011,-79.4163
"244","Fredericton","New Brunswick","750","3500","29.5",1,1,0,0,0,"Very likely",45.94541,-66.66558
"245","Toronto","Ontario","2250","1500","59.5",1,0,0,0,0,"Likely",43.70011,-79.4163
"249","Toronto","Ontario","2250","1500","59.5",0,0,0,0,1,"Very likely",43.70011,-79.4163
"251","Toronto","Ontario","7500","1000","39.5",1,1,0,0,1,"Very likely",43.70011,-79.4163
"253","Oshawa","Ontario","4000","3500","49.5",1,0,0,0,0,"Likely",43.90012,-78.84957
"259","Toronto","Ontario","750","1500","59.5",1,1,1,0,1,"Likely",43.70011,-79.4163
"265","North Vancouver","British Columbia","2250","1500","29.5",1,0,0,0,0,"Very likely",49.31636,-123.06934
"272","Montréal-Ouest","Quebec","4000","3500","75",0,1,0,0,0,"Very likely",45.45286,-73.64918
"274","Montréal-Ouest","Quebec","750","1500","49.5",1,1,0,0,0,"Likely",45.45286,-73.64918
"277","Abbotsford","British Columbia","4000","3500","59.5",1,1,1,0,1,"Very likely",49.05798,-122.25257
"278","Toronto","Ontario","750","1500","59.5",1,0,0,0,0,"Very likely",43.70011,-79.4163
"283","Toronto","Ontario","2250","1000","69.5",1,1,0,0,0,"Very likely",43.70011,-79.4163
"287","Campbellton","New Brunswick","750","3500","49.5",1,1,0,0,0,"Very likely",48.00751,-66.67272
"288","Montréal-Ouest","Quebec","750","1500","59.5",1,0,0,0,0,"Likely",45.45286,-73.64918
"295","Newmarket","Ontario","750","1000","49.5",1,0,0,0,0,"Very likely",44.05011,-79.46631
"298","Winnipeg","Manitoba","2250","3500","69.5",1,0,0,0,0,"Likely",49.8844,-97.14704
"301","Richmond Hill","Ontario","4000","1500","49.5",1,1,0,0,0,"Very likely",43.87111,-79.43725
"302","Toronto","Ontario","2250","1500","59.5",1,1,0,0,0,"Likely",43.70011,-79.4163
"303","Airdrie","Alberta","2250","1500","69.5",1,1,0,0,0,"Likely",51.30011,-114.03528
"306","North Vancouver","British Columbia","2250","1500","39.5",1,1,0,0,1,"Likely",49.31636,-123.06934
"310","Calgary","Alberta","750","1000","21",1,0,0,1,0,"Very likely",51.05011,-114.08529
"314","Calgary","Alberta","4000","3500","59.5",1,0,0,0,0,"Likely",51.05011,-114.08529
"317","Toronto","Ontario","2250","1500","69.5",0,1,0,0,0,"Very likely",43.70011,-79.4163
"322","Victoria","British Columbia","2250","1500","29.5",1,1,0,0,0,"Very likely",48.43294,-123.3693
"325","Toronto","Ontario","4000","3500","49.5",1,1,0,0,0,"Very likely",43.70011,-79.4163
"326","Pembroke","Ontario","7500","3500","59.5",1,0,0,0,0,"Very likely",45.81681,-77.11616
"333","North Vancouver","British Columbia","750","1000","49.5",1,1,0,0,0,"Very likely",49.31636,-123.06934
"336","Edmonton","Alberta","2250","1000","49.5",1,1,0,0,0,"Very likely",53.55014,-113.46871
"338","Toronto","Ontario","750","1000","39.5",1,1,0,0,0,"Likely",43.70011,-79.4163
"339","Toronto","Ontario","750","1000","39.5",0,1,1,0,0,"Likely",43.70011,-79.4163
"340","Toronto","Ontario","2250","3500","39.5",0,1,0,0,0,"Very likely",43.70011,-79.4163
"342","Toronto","Ontario","750","1500","29.5",1,1,1,0,0,"Very likely",43.70011,-79.4163
"344","Edmonton","Alberta","2250","1500","49.5",1,0,0,0,0,"Likely",53.55014,-113.46871
"345","Campbell River","British Columbia","7500","3500","49.5",1,0,0,0,0,"Likely",50.01634,-125.24459
"349","St. John's","Newfoundland and Labrador","NA","3500","49.5",1,1,0,0,0,"Very likely",47.56494,-52.70931
"354","North Vancouver","British Columbia","750","1000","59.5",0,1,0,0,0,"Likely",49.31636,-123.06934
"356","Dorchester","Ontario","4000","1500","29.5",0,1,0,0,0,"Very likely",42.98339,-81.06643
"359","Winnipeg","Manitoba","2250","1500","29.5",1,1,1,0,1,"Very likely",49.8844,-97.14704
"362","Edmonton","Alberta","2250","3500","39.5",0,0,0,0,1,"Very likely",53.55014,-113.46871
"365","Winnipeg","Manitoba","750","1500","39.5",1,1,0,0,0,"Likely",49.8844,-97.14704
"369","North Vancouver","British Columbia","2250","1000","39.5",1,1,0,0,0,"Likely",49.31636,-123.06934
"371","Abbotsford","British Columbia","4000","3500","49.5",0,1,0,0,0,"Likely",49.05798,-122.25257
"373","Hamilton","Ontario","750","1000","29.5",0,1,1,0,0,"Very likely",43.25011,-79.84963
"375","Sherbrooke","Quebec","750","1500","59.5",1,1,0,0,0,"Likely",45.40008,-71.89908
"385","Olds","Alberta","750","1500","39.5",1,1,0,1,0,"Likely",51.78341,-114.10199
"390","Ajax","Ontario","2250","1500","69.5",0,0,0,0,1,"Likely",43.85012,-79.03288
"391","Burlington","Ontario","4000","1500","39.5",0,1,0,0,0,"Very likely",43.38621,-79.83713
"402","Ottawa","Ontario","2250","1000","69.5",1,1,0,0,1,"Likely",45.41117,-75.69812
"405","Halifax","Nova Scotia","2250","3500","59.5",1,0,0,0,1,"Likely",44.64533,-63.57239
"409","Toronto","Ontario","4000","3500","49.5",1,1,0,0,0,"Likely",43.70011,-79.4163
"410","Niagara Falls","Ontario","2250","1500","39.5",1,0,0,0,0,"Likely",43.10012,-79.06627
"411","Hamilton","Ontario","2250","3500","49.5",1,1,0,0,0,"Likely",43.25011,-79.84963
"412","Regina","Saskatchewan","4000","1000","29.5",1,0,0,0,0,"Likely",50.45008,-104.6178
"414","Toronto","Ontario","4000","3500","39.5",1,1,0,0,0,"Likely",43.70011,-79.4163
"419","New Westminster","British Columbia","4000","1500","49.5",1,1,0,0,0,"Very likely",49.20678,-122.91092
"424","Calgary","Alberta","2250","3500","59.5",1,1,1,0,1,"Likely",51.05011,-114.08529
"426","Red Deer","Alberta","750","1500","39.5",1,1,1,1,0,"Very likely",52.26682,-113.802
"432","Toronto","Ontario","2250","1500","39.5",1,1,1,1,0,"Likely",43.70011,-79.4163
"440","Toronto","Ontario","2250","3500","49.5",0,1,0,0,0,"",43.70011,-79.4163
"442","St. John's","Newfoundland and Labrador","4000","3500","49.5",1,1,0,0,0,"Likely",47.56494,-52.70931
"452","Toronto","Ontario","750","1000","39.5",0,1,0,0,0,"Likely",43.70011,-79.4163
"459","Toronto","Ontario","4000","7500","59.5",1,0,0,0,0,"Likely",43.70011,-79.4163
"462","St. John's","Newfoundland and Labrador","7500","3500","59.5",0,1,0,0,0,"Likely",47.56494,-52.70931
"463","Toronto","Ontario","2250","3500","29.5",1,0,0,0,0,"Very likely",43.70011,-79.4163
"464","Toronto","Ontario","750","1500","29.5",1,1,1,0,1,"Likely",43.70011,-79.4163
"466","North Vancouver","British Columbia","750","1500","69.5",1,0,0,0,0,"Very likely",49.31636,-123.06934
"467","Peterborough","Ontario","2250","1500","29.5",1,0,0,0,0,"Very likely",44.30012,-78.31623
"469","Toronto","Ontario","750","1000","49.5",1,1,0,0,1,"Very likely",43.70011,-79.4163
"473","Toronto","Ontario","2250","3500","59.5",1,0,0,0,0,"Likely",43.70011,-79.4163
"476","North Vancouver","British Columbia","750","3500","29.5",1,1,0,0,1,"Likely",49.31636,-123.06934
"477","Toronto","Ontario","750","1000","29.5",0,1,1,0,0,"Likely",43.70011,-79.4163
"478","Ottawa","Ontario","750","1000","29.5",1,0,0,0,0,"Very likely",45.41117,-75.69812
"479","Thunder Bay","Ontario","2250","1500","49.5",1,1,0,0,0,"Likely",48.38202,-89.25018
"480","Orillia","Ontario","750","1500","59.5",1,0,0,0,0,"Very likely",44.60868,-79.42068
"482","North Vancouver","British Columbia","2250","1000","39.5",0,0,0,0,1,"Likely",49.31636,-123.06934
"485","Winnipeg","Manitoba","4000","1500","49.5",0,1,0,0,0,"Very likely",49.8844,-97.14704
"486","North Vancouver","British Columbia","2250","1500","21",1,1,1,1,0,"Very likely",49.31636,-123.06934
"494","Toronto","Ontario","2250","1500","69.5",1,0,0,0,0,"Very likely",43.70011,-79.4163
