"","Var1","Freq"
"2","Beach",270
"3","Beach,Other",22
"4","Beach,Sightseeing and Touring",346
"5","Beach,Sightseeing and Touring,Other",144
"6","Beach,Sightseeing and Touring,Skiing, Golfing, Biking, etc",52
"7","Beach,Sightseeing and Touring,Skiing, Golfing, Biking, etc,Other",12
"8","Beach,Skiing, Golfing, Biking, etc",14
"9","Beach,Skiing, Golfing, Biking, etc,Other",1
"10","Beach,Trekking",11
"11","Beach,Trekking,Other",1
"12","Beach,Trekking,Sightseeing and Touring",105
"13","Beach,Trekking,Sightseeing and Touring,Other",43
"14","Beach,Trekking,Sightseeing and Touring,Skiing, Golfing, Biking, etc",56
"15","Beach,Trekking,Sightseeing and Touring,Skiing, Golfing, Biking, etc,Other",37
"16","Beach,Trekking,Skiing, Golfing, Biking, etc",3
"17","Beach,Trekking,Skiing, Golfing, Biking, etc,Other",1
"18","Other",45
"19","Sightseeing and Touring",203
"20","Sightseeing and Touring,Other",12
"21","Sightseeing and Touring,Skiing, Golfing, Biking, etc",7
"22","Sightseeing and Touring,Skiing, Golfing, Biking, etc,Other",2
"23","Skiing, Golfing, Biking, etc",8
"24","Skiing, Golfing, Biking, etc,Other",0
"25","Trekking",13
"26","Trekking,Other",0
"27","Trekking,Sightseeing and Touring",13
"28","Trekking,Sightseeing and Touring,Other",7
"29","Trekking,Sightseeing and Touring,Skiing, Golfing, Biking, etc",0
"30","Trekking,Sightseeing and Touring,Skiing, Golfing, Biking, etc,Other",2
"31","Trekking,Skiing, Golfing, Biking, etc",0
